00002901|901142224
00003001|901142200
00003701|901142222
00003801|901142219
00004501|901142240
00005001|901142227
00006301|901142233
00006701|901142207
00006901|901142243
00007901|901142245
00009401|901142246
00009601|901142221
00010201|901142214
00010401|901049728
00010601|901142232
00011099|901030054
00011501|901142234
00013102|901142212
00013601|901142309
00014001|200189
00014080|901142230
00015001|901142238
00015501|901142223
00017001|901047371
00017501|901142209
00017701|901124310
00023201|901142203
00025501|901142199
00027701|901142205
00031001|901142236
00033401|901026520
00033401|901087624
00034601|901142211
00051301|901142228
00054701|901024872
00062801|901142239
00073301|901142206
00086899|901142208
00102101|901142201
00106001|901142246
00178801|901082077
00180602|901042999
00190001|901142229
00202099|906837001
00222801|901142198
00400101|901142225
00502001|901067205
00503701|901142202
00505001|901142241
00540092|901142217
00540093|901142217
00542601|901142202
00564101|901135398
00566901|901142226
00569801|901142242
00583401|901142215
00583601|901142214
00771001|901142213
